county_name,sample_date,parameter,result,reporting_limit,units
Alameda,07/28/1976 00:00,Total Hardness,306,1.00000000,mg/L as CaCO3
Alameda,08/04/1975 00:00,Total Hardness,310,1.00000000,mg/L as CaCO3
Alameda,08/09/1984 09:33,Total Hardness,302,1.00000000,mg/L as CaCO3
Alameda,09/09/1974 00:00,Total Hardness,316,1.00000000,mg/L as CaCO3
Alameda,10/01/1980 09:30,Total Hardness,310,1.00000000,mg/L as CaCO3
Alameda,10/20/1982 11:05,Total Hardness,302,1.00000000,mg/L as CaCO3
Alameda,07/16/1975 13:15,Total Hardness,359,1.00000000,mg/L as CaCO3
Alameda,08/24/1977 12:30,Total Hardness,300,1.00000000,mg/L as CaCO3
Alameda,05/07/1974 00:00,Total Hardness,256,1.00000000,mg/L as CaCO3
Alameda,05/10/1976 00:00,Total Hardness,240,1.00000000,mg/L as CaCO3
Alameda,07/07/1975 00:00,Total Hardness,176,1.00000000,mg/L as CaCO3
Alameda,07/11/1977 12:00,Total Hardness,246,1.00000000,mg/L as CaCO3
Alameda,09/07/1983 14:30,Total Hardness,197,1.00000000,mg/L as CaCO3
Alameda,10/19/1981 15:00,Total Hardness,204,1.00000000,mg/L as CaCO3
Alameda,10/23/1979 12:30,Total Hardness,268,1.00000000,mg/L as CaCO3
Alameda,12/18/1985 10:55,Total Hardness,257,1.00000000,mg/L as CaCO3
Alameda,07/16/1975 13:50,Total Hardness,292,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 15:20,Total Hardness,244,1.00000000,mg/L as CaCO3
Alameda,08/09/1971 10:20,Total Hardness,263,1.00000000,mg/L as CaCO3
Alameda,08/20/1973 10:45,Total Hardness,284,1.00000000,mg/L as CaCO3
Alameda,08/24/1977 12:00,Total Hardness,275,1.00000000,mg/L as CaCO3
Alameda,07/29/1976 14:20,Total Hardness,227,1.00000000,mg/L as CaCO3
Alameda,07/30/1974 13:50,Total Hardness,226,1.00000000,mg/L as CaCO3
Alameda,08/08/1972 09:55,Total Hardness,204,1.00000000,mg/L as CaCO3
Alameda,08/21/1978 16:00,Total Hardness,162,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 15:10,Total Hardness,448,1.00000000,mg/L as CaCO3
Alameda,08/10/1971 08:15,Total Hardness,444,1.00000000,mg/L as CaCO3
Alameda,08/14/1973 14:00,Total Hardness,367,1.00000000,mg/L as CaCO3
Alameda,08/13/1975 15:15,Total Hardness,341,1.00000000,mg/L as CaCO3
Alameda,08/30/1977 09:00,Total Hardness,346,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 15:25,Total Hardness,499,1.00000000,mg/L as CaCO3
Alameda,08/07/1972 14:45,Total Hardness,409,1.00000000,mg/L as CaCO3
Alameda,08/11/1976 09:40,Total Hardness,519,1.00000000,mg/L as CaCO3
Alameda,08/17/1978 12:00,Total Hardness,527,1.00000000,mg/L as CaCO3
Alameda,07/18/1975 14:25,Total Hardness,472,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 15:40,Total Hardness,536,1.00000000,mg/L as CaCO3
Alameda,08/07/1972 15:30,Total Hardness,401,1.00000000,mg/L as CaCO3
Alameda,08/30/1977 12:00,Total Hardness,331,1.00000000,mg/L as CaCO3
Alameda,08/06/1975 15:20,Total Hardness,153,1.00000000,mg/L as CaCO3
Alameda,08/10/1971 08:00,Total Hardness,133,1.00000000,mg/L as CaCO3
Alameda,08/14/1973 14:50,Total Hardness,278,1.00000000,mg/L as CaCO3
Alameda,08/30/1977 13:00,Total Hardness,132,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 15:50,Total Hardness,153,1.00000000,mg/L as CaCO3
Alameda,07/19/1974 13:35,Total Hardness,880,1.00000000,mg/L as CaCO3
Alameda,08/11/1976 13:50,Total Hardness,907,1.00000000,mg/L as CaCO3
Alameda,08/17/1978 15:30,Total Hardness,1050,1.00000000,mg/L as CaCO3
Alameda,07/16/1975 14:05,Total Hardness,268,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 14:00,Total Hardness,274,1.00000000,mg/L as CaCO3
Alameda,08/09/1971 12:30,Total Hardness,276,1.00000000,mg/L as CaCO3
Alameda,08/20/1973 11:30,Total Hardness,308,1.00000000,mg/L as CaCO3
Alameda,08/24/1977 11:00,Total Hardness,258,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 14:45,Total Hardness,163,1.00000000,mg/L as CaCO3
Alameda,08/07/1972 14:00,Total Hardness,160,1.00000000,mg/L as CaCO3
Alameda,07/24/1975 13:15,Total Hardness,186,1.00000000,mg/L as CaCO3
Alameda,08/30/1977 10:00,Total Hardness,170,1.00000000,mg/L as CaCO3
Alameda,07/18/1975 14:00,Total Hardness,452,1.00000000,mg/L as CaCO3
Alameda,08/07/1972 14:30,Total Hardness,383,1.00000000,mg/L as CaCO3
Alameda,08/30/1977 11:00,Total Hardness,415,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 15:00,Total Hardness,562,1.00000000,mg/L as CaCO3
Alameda,07/18/1974 15:30,Total Hardness,66,1.00000000,mg/L as CaCO3
Alameda,08/17/1978 12:30,Total Hardness,56,1.00000000,mg/L as CaCO3
Alameda,08/19/1976 10:30,Total Hardness,59,1.00000000,mg/L as CaCO3
Alameda,07/18/1974 14:45,Total Hardness,1060,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 15:30,Total Hardness,761,1.00000000,mg/L as CaCO3
